Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;105;-;-;105;-;-
Wählende;73;69,5 %;-;73;69,5 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;73;100,0 %;-;73;100,0 %;-
SPD;23;31,5 %;-;14;19,2 %;-
AfD;39;53,4 %;-;39;53,4 %;-
CDU;5;6,8 %;-;4;5,5 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;1;1,4 %;-;2;2,7 %;-
BVB / FREIE WÄHLER;3;4,1 %;-;2;2,7 %;-
FDP;2;2,7 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;2,7 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;10;13,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
