Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;562;-;-;562;-;-
Wählende;265;47,2 %;-;265;47,2 %;-
Ungültige Stimmen;6;2,3 %;-;6;2,3 %;-
Gültige Stimmen;259;97,7 %;-;259;97,7 %;-
SPD;74;28,6 %;-;73;28,2 %;-
AfD;81;31,3 %;-;78;30,1 %;-
CDU;43;16,6 %;-;35;13,5 %;-
GRÜNE/B 90;9;3,5 %;-;3;1,2 %;-
DIE LINKE;12;4,6 %;-;4;1,5 %;-
BVB / FREIE WÄHLER;33;12,7 %;-;8;3,1 %;-
FDP;7;2,7 %;-;3;1,2 %;-
Tierschutzpartei;-;-;-;13;5,0 %;-
Plus;-;-;-;4;1,5 %;-
BSW;-;-;-;36;13,9 %;-
III. Weg;-;-;-;1;0,4 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,4 %;-
WU;-;-;-;0;0,0 %;-
