Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;603;-;-;603;-;-
Wählende;220;36,5 %;-;220;36,5 %;-
Ungültige Stimmen;4;1,8 %;-;1;0,5 %;-
Gültige Stimmen;216;98,2 %;-;219;99,5 %;-
SPD;67;31,0 %;-;56;25,6 %;-
AfD;72;33,3 %;-;74;33,8 %;-
CDU;37;17,1 %;-;26;11,9 %;-
GRÜNE/B 90;2;0,9 %;-;8;3,7 %;-
DIE LINKE;1;0,5 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;35;16,2 %;-;17;7,8 %;-
FDP;2;0,9 %;-;6;2,7 %;-
Tierschutzpartei;-;-;-;5;2,3 %;-
Plus;-;-;-;1;0,5 %;-
BSW;-;-;-;23;10,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,9 %;-
WU;-;-;-;1;0,5 %;-
