Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;248;-;-;248;-;-
Wählende;146;58,9 %;-;146;58,9 %;-
Ungültige Stimmen;2;1,4 %;-;1;0,7 %;-
Gültige Stimmen;144;98,6 %;-;145;99,3 %;-
SPD;53;36,8 %;-;48;33,1 %;-
AfD;49;34,0 %;-;46;31,7 %;-
CDU;19;13,2 %;-;18;12,4 %;-
GRÜNE/B 90;2;1,4 %;-;5;3,4 %;-
DIE LINKE;4;2,8 %;-;1;0,7 %;-
BVB / FREIE WÄHLER;16;11,1 %;-;8;5,5 %;-
FDP;1;0,7 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;5;3,4 %;-
Plus;-;-;-;2;1,4 %;-
BSW;-;-;-;11;7,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,7 %;-
WU;-;-;-;0;0,0 %;-
