Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;872;-;-;872;-;-
Wählende;510;58,5 %;-;510;58,5 %;-
Ungültige Stimmen;10;2,0 %;-;5;1,0 %;-
Gültige Stimmen;500;98,0 %;-;505;99,0 %;-
SPD;131;26,2 %;-;133;26,3 %;-
AfD;208;41,6 %;-;181;35,8 %;-
CDU;98;19,6 %;-;75;14,9 %;-
GRÜNE/B 90;9;1,8 %;-;14;2,8 %;-
DIE LINKE;8;1,6 %;-;4;0,8 %;-
BVB / FREIE WÄHLER;32;6,4 %;-;13;2,6 %;-
FDP;12;2,4 %;-;11;2,2 %;-
Tierschutzpartei;-;-;-;13;2,6 %;-
Plus;-;-;-;2;0,4 %;-
BSW;-;-;-;54;10,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;0;0,0 %;-;0;0,0 %;-
DLW;-;-;-;3;0,6 %;-
WU;-;-;-;2;0,4 %;-
EB Schamberger;2;0,4 %;-;-;-;-
