Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.085;-;-;1.085;-;-
Wählende;549;50,6 %;-07;549;50,6 %;-07
Ungültige Stimmen;2;0,4 %;-07;2;0,4 %;-06
Gültige Stimmen;547;99,6 %;+07;547;99,6 %;+06
SPD;263;48,1 %;+164;211;38,6 %;+118
AfD;146;26,7 %;+65;140;25,6 %;+55
CDU;64;11,7 %;-31;50;9,1 %;-40
GRÜNE/B 90;18;3,3 %;-91;35;6,4 %;-91
DIE LINKE;19;3,5 %;-73;24;4,4 %;-66
BVB / FREIE WÄHLER;28;5,1 %;-11;10;1,8 %;-24
FDP;3;0,5 %;-34;3;0,5 %;-42
Tierschutzpartei;-;-;-;12;2,2 %;-08
Plus;-;-;-;6;1,1 %;+00
BSW;-;-;-;50;9,1 %;+91
III. Weg;-;-;-;0;0,0 %;00
DKP;3;0,5 %;+03;0;0,0 %;00
DLW;-;-;-;2;0,4 %;+04
WU;-;-;-;4;0,7 %;+07
EB Schamberger;3;0,5 %;+05;-;-;-
