Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;634;-;-;634;-;-
Wählende;303;47,8 %;-;303;47,8 %;-
Ungültige Stimmen;8;2,6 %;-;2;0,7 %;-
Gültige Stimmen;295;97,4 %;-;301;99,3 %;-
SPD;125;42,4 %;-;109;36,2 %;-
AfD;108;36,6 %;-;102;33,9 %;-
CDU;34;11,5 %;-;24;8,0 %;-
GRÜNE/B 90;3;1,0 %;-;8;2,7 %;-
DIE LINKE;5;1,7 %;-;2;0,7 %;-
BVB / FREIE WÄHLER;15;5,1 %;-;6;2,0 %;-
FDP;3;1,0 %;-;2;0,7 %;-
Tierschutzpartei;-;-;-;7;2,3 %;-
Plus;-;-;-;4;1,3 %;-
BSW;-;-;-;35;11,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;2;0,7 %;-;1;0,3 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;0;0,0 %;-
