Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;847;-;-;847;-;-
Wählende;419;49,5 %;-;419;49,5 %;-
Ungültige Stimmen;5;1,2 %;-;4;1,0 %;-
Gültige Stimmen;414;98,8 %;-;415;99,0 %;-
SPD;174;42,0 %;-;148;35,7 %;-
AfD;137;33,1 %;-;128;30,8 %;-
CDU;34;8,2 %;-;30;7,2 %;-
GRÜNE/B 90;11;2,7 %;-;17;4,1 %;-
DIE LINKE;19;4,6 %;-;11;2,7 %;-
BVB / FREIE WÄHLER;32;7,7 %;-;8;1,9 %;-
FDP;6;1,4 %;-;4;1,0 %;-
Tierschutzpartei;-;-;-;4;1,0 %;-
Plus;-;-;-;7;1,7 %;-
BSW;-;-;-;55;13,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;1;0,2 %;-;1;0,2 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
