Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;762;-;-;762;-;-
Wählende;387;50,8 %;-;387;50,8 %;-
Ungültige Stimmen;6;1,6 %;-;5;1,3 %;-
Gültige Stimmen;381;98,4 %;-;382;98,7 %;-
SPD;162;42,5 %;-;128;33,5 %;-
AfD;110;28,9 %;-;105;27,5 %;-
CDU;62;16,3 %;-;56;14,7 %;-
GRÜNE/B 90;5;1,3 %;-;27;7,1 %;-
DIE LINKE;19;5,0 %;-;6;1,6 %;-
BVB / FREIE WÄHLER;19;5,0 %;-;6;1,6 %;-
FDP;2;0,5 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;6;1,6 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;45;11,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;2;0,5 %;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
