Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;786;-;-;786;-;-
Wählende;404;51,4 %;-;404;51,4 %;-
Ungültige Stimmen;5;1,2 %;-;5;1,2 %;-
Gültige Stimmen;399;98,8 %;-;399;98,8 %;-
SPD;144;36,1 %;-;110;27,6 %;-
AfD;164;41,1 %;-;152;38,1 %;-
CDU;41;10,3 %;-;37;9,3 %;-
GRÜNE/B 90;1;0,3 %;-;10;2,5 %;-
DIE LINKE;18;4,5 %;-;13;3,3 %;-
BVB / FREIE WÄHLER;26;6,5 %;-;9;2,3 %;-
FDP;4;1,0 %;-;3;0,8 %;-
Tierschutzpartei;-;-;-;14;3,5 %;-
Plus;-;-;-;3;0,8 %;-
BSW;-;-;-;46;11,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;1;0,3 %;-;1;0,3 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
