Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;149;-;-;149;-;-
Wählende;106;71,1 %;-;106;71,1 %;-
Ungültige Stimmen;2;1,9 %;-;1;0,9 %;-
Gültige Stimmen;104;98,1 %;-;105;99,1 %;-
SPD;44;42,3 %;-;27;25,7 %;-
AfD;41;39,4 %;-;38;36,2 %;-
CDU;12;11,5 %;-;8;7,6 %;-
GRÜNE/B 90;0;0,0 %;-;6;5,7 %;-
DIE LINKE;2;1,9 %;-;1;1,0 %;-
BVB / FREIE WÄHLER;5;4,8 %;-;5;4,8 %;-
FDP;0;0,0 %;-;2;1,9 %;-
Tierschutzpartei;-;-;-;1;1,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;15;14,3 %;-
III. Weg;-;-;-;1;1,0 %;-
DKP;0;0,0 %;-;0;0,0 %;-
DLW;-;-;-;1;1,0 %;-
WU;-;-;-;0;0,0 %;-
