Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;408;-;-;408;-;-
Wählende;242;59,3 %;-;242;59,3 %;-
Ungültige Stimmen;8;3,3 %;-;4;1,7 %;-
Gültige Stimmen;234;96,7 %;-;238;98,3 %;-
SPD;96;41,0 %;-;91;38,2 %;-
AfD;79;33,8 %;-;75;31,5 %;-
CDU;22;9,4 %;-;20;8,4 %;-
GRÜNE/B 90;4;1,7 %;-;1;0,4 %;-
DIE LINKE;6;2,6 %;-;8;3,4 %;-
BVB / FREIE WÄHLER;23;9,8 %;-;7;2,9 %;-
FDP;3;1,3 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;7;2,9 %;-
Plus;-;-;-;4;1,7 %;-
BSW;-;-;-;22;9,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;1;0,4 %;-;0;0,0 %;-
DLW;-;-;-;1;0,4 %;-
WU;-;-;-;2;0,8 %;-
