Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;145;-;-;145;-;-
Wählende;101;69,7 %;-;101;69,7 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;101;100,0 %;-;101;100,0 %;-
SPD;22;21,8 %;-;20;19,8 %;-
AfD;65;64,4 %;-;58;57,4 %;-
CDU;3;3,0 %;-;2;2,0 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;0;0,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;8;7,9 %;-;5;5,0 %;-
FDP;2;2,0 %;-;2;2,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;13;12,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;1;1,0 %;-;1;1,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
