Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;196;-;-;196;-;-
Wählende;126;64,3 %;-;126;64,3 %;-
Ungültige Stimmen;2;1,6 %;-;1;0,8 %;-
Gültige Stimmen;124;98,4 %;-;125;99,2 %;-
SPD;39;31,5 %;-;32;25,6 %;-
AfD;64;51,6 %;-;58;46,4 %;-
CDU;11;8,9 %;-;9;7,2 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;1;0,8 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;9;7,3 %;-;6;4,8 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;3;2,4 %;-
Plus;-;-;-;2;1,6 %;-
BSW;-;-;-;13;10,4 %;-
III. Weg;-;-;-;2;1,6 %;-
DKP;0;0,0 %;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
