Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;331;-;-;331;-;-
Wählende;190;57,4 %;-;190;57,4 %;-
Ungültige Stimmen;8;4,2 %;-;3;1,6 %;-
Gültige Stimmen;182;95,8 %;-;187;98,4 %;-
SPD;56;30,8 %;-;47;25,1 %;-
AfD;93;51,1 %;-;82;43,9 %;-
CDU;21;11,5 %;-;16;8,6 %;-
GRÜNE/B 90;0;0,0 %;-;3;1,6 %;-
DIE LINKE;3;1,6 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;8;4,4 %;-;2;1,1 %;-
FDP;1;0,5 %;-;2;1,1 %;-
Tierschutzpartei;-;-;-;1;0,5 %;-
Plus;-;-;-;2;1,1 %;-
BSW;-;-;-;28;15,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;0;0,0 %;-;0;0,0 %;-
DLW;-;-;-;1;0,5 %;-
WU;-;-;-;3;1,6 %;-
