Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;223;-;-;223;-;-
Wählende;138;61,9 %;-;138;61,9 %;-
Ungültige Stimmen;1;0,7 %;-;2;1,4 %;-
Gültige Stimmen;137;99,3 %;-;136;98,6 %;-
SPD;38;27,7 %;-;30;22,1 %;-
AfD;75;54,7 %;-;70;51,5 %;-
CDU;15;10,9 %;-;13;9,6 %;-
GRÜNE/B 90;1;0,7 %;-;0;0,0 %;-
DIE LINKE;2;1,5 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;6;4,4 %;-;3;2,2 %;-
FDP;0;0,0 %;-;2;1,5 %;-
Tierschutzpartei;-;-;-;1;0,7 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;16;11,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;0;0,0 %;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,7 %;-
