Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;609;-;-;609;-;-
Wählende;356;58,5 %;-;356;58,5 %;-
Ungültige Stimmen;4;1,1 %;-;2;0,6 %;-
Gültige Stimmen;352;98,9 %;-;354;99,4 %;-
SPD;102;29,0 %;-;104;29,4 %;-
AfD;137;38,9 %;-;121;34,2 %;-
CDU;46;13,1 %;-;41;11,6 %;-
GRÜNE/B 90;7;2,0 %;-;12;3,4 %;-
DIE LINKE;12;3,4 %;-;6;1,7 %;-
BVB / FREIE WÄHLER;32;9,1 %;-;11;3,1 %;-
FDP;3;0,9 %;-;3;0,8 %;-
Tierschutzpartei;-;-;-;5;1,4 %;-
Plus;4;1,1 %;-;0;0,0 %;-
BSW;-;-;-;41;11,6 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;1;0,3 %;-
DLW;9;2,6 %;-;4;1,1 %;-
WU;-;-;-;4;1,1 %;-
