Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;328;-;-;328;-;-
Wählende;206;62,8 %;-;206;62,8 %;-
Ungültige Stimmen;3;1,5 %;-;3;1,5 %;-
Gültige Stimmen;203;98,5 %;-;203;98,5 %;-
SPD;66;32,5 %;-;58;28,6 %;-
AfD;86;42,4 %;-;80;39,4 %;-
CDU;26;12,8 %;-;23;11,3 %;-
GRÜNE/B 90;2;1,0 %;-;1;0,5 %;-
DIE LINKE;4;2,0 %;-;4;2,0 %;-
BVB / FREIE WÄHLER;6;3,0 %;-;2;1,0 %;-
FDP;1;0,5 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,5 %;-
Plus;2;1,0 %;-;2;1,0 %;-
BSW;-;-;-;21;10,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;10;4,9 %;-;9;4,4 %;-
WU;-;-;-;2;1,0 %;-
