Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;57;-;-;57;-;-
Wählende;40;70,2 %;-;40;70,2 %;-
Ungültige Stimmen;1;2,5 %;-;0;0,0 %;-
Gültige Stimmen;39;97,5 %;-;40;100,0 %;-
SPD;9;23,1 %;-;8;20,0 %;-
AfD;20;51,3 %;-;18;45,0 %;-
CDU;5;12,8 %;-;4;10,0 %;-
GRÜNE/B 90;1;2,6 %;-;2;5,0 %;-
DIE LINKE;2;5,1 %;-;1;2,5 %;-
BVB / FREIE WÄHLER;2;5,1 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;0;0,0 %;-;1;2,5 %;-
BSW;-;-;-;6;15,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;0;0,0 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
