Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;984;-;-;984;-;-
Wählende;394;40,0 %;-;394;40,0 %;-
Ungültige Stimmen;5;1,3 %;-;4;1,0 %;-
Gültige Stimmen;389;98,7 %;-;390;99,0 %;-
SPD;130;33,4 %;-;116;29,7 %;-
AfD;188;48,3 %;-;173;44,4 %;-
CDU;29;7,5 %;-;33;8,5 %;-
GRÜNE/B 90;4;1,0 %;-;7;1,8 %;-
DIE LINKE;9;2,3 %;-;4;1,0 %;-
BVB / FREIE WÄHLER;15;3,9 %;-;11;2,8 %;-
FDP;3;0,8 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;6;1,5 %;-
Plus;4;1,0 %;-;3;0,8 %;-
BSW;-;-;-;30;7,7 %;-
III. Weg;-;-;-;2;0,5 %;-
DKP;-;-;-;0;0,0 %;-
DLW;7;1,8 %;-;2;0,5 %;-
WU;-;-;-;2;0,5 %;-
