Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;446;-;-;446;-;-
Wählende;281;63,0 %;-;281;63,0 %;-
Ungültige Stimmen;0;0,0 %;-;2;0,7 %;-
Gültige Stimmen;281;100,0 %;-;279;99,3 %;-
SPD;126;44,8 %;-;103;36,9 %;-
AfD;94;33,5 %;-;87;31,2 %;-
CDU;34;12,1 %;-;27;9,7 %;-
GRÜNE/B 90;1;0,4 %;-;3;1,1 %;-
DIE LINKE;8;2,8 %;-;10;3,6 %;-
BVB / FREIE WÄHLER;12;4,3 %;-;6;2,2 %;-
FDP;1;0,4 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;2;0,7 %;-;2;0,7 %;-
BSW;-;-;-;40;14,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;3;1,1 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
