Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;625;-;-;625;-;-
Wählende;379;60,6 %;-;379;60,6 %;-
Ungültige Stimmen;10;2,6 %;-;7;1,8 %;-
Gültige Stimmen;369;97,4 %;-;372;98,2 %;-
SPD;104;28,2 %;-;83;22,3 %;-
AfD;188;50,9 %;-;170;45,7 %;-
CDU;39;10,6 %;-;36;9,7 %;-
GRÜNE/B 90;0;0,0 %;-;4;1,1 %;-
DIE LINKE;11;3,0 %;-;9;2,4 %;-
BVB / FREIE WÄHLER;9;2,4 %;-;5;1,3 %;-
FDP;9;2,4 %;-;10;2,7 %;-
Tierschutzpartei;-;-;-;4;1,1 %;-
Plus;3;0,8 %;-;5;1,3 %;-
BSW;-;-;-;43;11,6 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;6;1,6 %;-;2;0,5 %;-
WU;-;-;-;0;0,0 %;-
