Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.168;-;-;1.168;-;-
Wählende;573;49,1 %;-;573.0;49,1 %;-
Ungültige Stimmen;12;2,1 %;-;8.0;1,4 %;-
Gültige Stimmen;561;97,9 %;-;565.0;98,6 %;-
SPD;170;30,3 %;-;153.0;27,1 %;-
AfD;268;47,8 %;-;247.0;43,7 %;-
CDU;62;11,1 %;-;54.0;9,6 %;-
GRÜNE/B 90;7;1,2 %;-;11.0;1,9 %;-
DIE LINKE;8;1,4 %;-;8.0;1,4 %;-
BVB / FREIE WÄHLER;24;4,3 %;-;13.0;2,3 %;-
FDP;3;0,5 %;-;2.0;0,4 %;-
Tierschutzpartei;-;-;-;9.0;1,6 %;-
Plus;9;1,6 %;-;4.0;0,7 %;-
BSW;-;-;-;55.0;9,7 %;-
III. Weg;-;-;-;3.0;0,5 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;10;1,8 %;-;3.0;0,5 %;-
WU;-;-;-;3.0;0,5 %;-
