Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;529;-;-;529;-;-
Wählende;298;56,3 %;-;298;56,3 %;-
Ungültige Stimmen;4;1,3 %;-;3;1,0 %;-
Gültige Stimmen;294;98,7 %;-;295;99,0 %;-
SPD;115;39,1 %;-;95;32,2 %;-
AfD;102;34,7 %;-;92;31,2 %;-
CDU;39;13,3 %;-;32;10,8 %;-
GRÜNE/B 90;3;1,0 %;-;6;2,0 %;-
DIE LINKE;8;2,7 %;-;4;1,4 %;-
BVB / FREIE WÄHLER;13;4,4 %;-;5;1,7 %;-
FDP;3;1,0 %;-;5;1,7 %;-
Tierschutzpartei;-;-;-;8;2,7 %;-
Plus;5;1,7 %;-;4;1,4 %;-
BSW;-;-;-;39;13,2 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;6;2,0 %;-;3;1,0 %;-
WU;-;-;-;1;0,3 %;-
