Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;50;-;-;50;-;-
Wählende;39;78,0 %;-;39;78,0 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;39;100,0 %;-;39;100,0 %;-
SPD;9;23,1 %;-;9;23,1 %;-
AfD;20;51,3 %;-;19;48,7 %;-
CDU;1;2,6 %;-;1;2,6 %;-
GRÜNE/B 90;1;2,6 %;-;1;2,6 %;-
DIE LINKE;0;0,0 %;-;1;2,6 %;-
BVB / FREIE WÄHLER;1;2,6 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;5;12,8 %;-;3;7,7 %;-
BSW;-;-;-;2;5,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;5,1 %;-;3;7,7 %;-
WU;-;-;-;0;0,0 %;-
