Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;37;-;-;37;-;-
Wählende;25;67,6 %;-;25;67,6 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;25;100,0 %;-;25;100,0 %;-
SPD;6;24,0 %;-;5;20,0 %;-
AfD;10;40,0 %;-;8;32,0 %;-
CDU;4;16,0 %;-;4;16,0 %;-
GRÜNE/B 90;0;0,0 %;-;1;4,0 %;-
DIE LINKE;4;16,0 %;-;1;4,0 %;-
BVB / FREIE WÄHLER;0;0,0 %;-;0;0,0 %;-
FDP;1;4,0 %;-;1;4,0 %;-
Tierschutzpartei;-;-;-;1;4,0 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;4;16,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;0;0,0 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
