Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;137;-;-;137;-;-
Wählende;91;66,4 %;-;91;66,4 %;-
Ungültige Stimmen;1;1,1 %;-;0;0,0 %;-
Gültige Stimmen;90;98,9 %;-;91;100,0 %;-
SPD;26;28,9 %;-;21;23,1 %;-
AfD;42;46,7 %;-;31;34,1 %;-
CDU;9;10,0 %;-;7;7,7 %;-
GRÜNE/B 90;1;1,1 %;-;0;0,0 %;-
DIE LINKE;2;2,2 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;2;2,2 %;-;0;0,0 %;-
FDP;1;1,1 %;-;1;1,1 %;-
Tierschutzpartei;-;-;-;1;1,1 %;-
Plus;1;1,1 %;-;1;1,1 %;-
BSW;-;-;-;21;23,1 %;-
III. Weg;-;-;-;4;4,4 %;-
DKP;-;-;-;0;0,0 %;-
DLW;6;6,7 %;-;3;3,3 %;-
WU;-;-;-;1;1,1 %;-
