Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;86;-;-;86;-;-
Wählende;65;75,6 %;-;65;75,6 %;-
Ungültige Stimmen;1;1,5 %;-;0;0,0 %;-
Gültige Stimmen;64;98,5 %;-;65;100,0 %;-
SPD;23;35,9 %;-;13;20,0 %;-
AfD;26;40,6 %;-;21;32,3 %;-
CDU;9;14,1 %;-;9;13,8 %;-
GRÜNE/B 90;0;0,0 %;-;1;1,5 %;-
DIE LINKE;2;3,1 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;2;3,1 %;-;5;7,7 %;-
FDP;1;1,6 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;16;24,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;1,6 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
