Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;271;-;-;271;-;-
Wählende;129;47,6 %;-;129;47,6 %;-
Ungültige Stimmen;1;0,8 %;-;0;0,0 %;-
Gültige Stimmen;128;99,2 %;-;129;100,0 %;-
SPD;42;32,8 %;-;40;31,0 %;-
AfD;61;47,7 %;-;56;43,4 %;-
CDU;16;12,5 %;-;13;10,1 %;-
GRÜNE/B 90;1;0,8 %;-;2;1,6 %;-
DIE LINKE;2;1,6 %;-;1;0,8 %;-
BVB / FREIE WÄHLER;1;0,8 %;-;1;0,8 %;-
FDP;2;1,6 %;-;2;1,6 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;2;1,6 %;-;1;0,8 %;-
BSW;-;-;-;12;9,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;0,8 %;-;0;0,0 %;-
WU;-;-;-;1;0,8 %;-
