Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;344;-;-;344;-;-
Wählende;223;64,8 %;-;223;64,8 %;-
Ungültige Stimmen;3;1,3 %;-;2;0,9 %;-
Gültige Stimmen;220;98,7 %;-;221;99,1 %;-
SPD;76;34,5 %;-;71;32,1 %;-
AfD;101;45,9 %;-;98;44,3 %;-
CDU;19;8,6 %;-;13;5,9 %;-
GRÜNE/B 90;0;0,0 %;-;3;1,4 %;-
DIE LINKE;3;1,4 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;6;2,7 %;-;4;1,8 %;-
FDP;1;0,5 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;4;1,8 %;-
Plus;5;2,3 %;-;3;1,4 %;-
BSW;-;-;-;18;8,1 %;-
III. Weg;-;-;-;1;0,5 %;-
DKP;-;-;-;1;0,5 %;-
DLW;9;4,1 %;-;4;1,8 %;-
WU;-;-;-;1;0,5 %;-
