Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;288;-;-;288;-;-
Wählende;208;72,2 %;-;208;72,2 %;-
Ungültige Stimmen;3;1,4 %;-;3;1,4 %;-
Gültige Stimmen;205;98,6 %;-;205;98,6 %;-
SPD;75;36,6 %;-;67;32,7 %;-
AfD;79;38,5 %;-;79;38,5 %;-
CDU;20;9,8 %;-;16;7,8 %;-
GRÜNE/B 90;3;1,5 %;-;4;2,0 %;-
DIE LINKE;1;0,5 %;-;1;0,5 %;-
BVB / FREIE WÄHLER;16;7,8 %;-;11;5,4 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;1,0 %;-
Plus;0;0,0 %;-;1;0,5 %;-
BSW;-;-;-;21;10,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;11;5,4 %;-;3;1,5 %;-
WU;-;-;-;0;0,0 %;-
