Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;257;-;-;257;-;-
Wählende;161;62,6 %;-;161;62,6 %;-
Ungültige Stimmen;2;1,2 %;-;2;1,2 %;-
Gültige Stimmen;159;98,8 %;-;159;98,8 %;-
SPD;56;35,2 %;-;52;32,7 %;-
AfD;51;32,1 %;-;48;30,2 %;-
CDU;18;11,3 %;-;14;8,8 %;-
GRÜNE/B 90;5;3,1 %;-;4;2,5 %;-
DIE LINKE;9;5,7 %;-;4;2,5 %;-
BVB / FREIE WÄHLER;10;6,3 %;-;11;6,9 %;-
FDP;1;0,6 %;-;2;1,3 %;-
Tierschutzpartei;-;-;-;2;1,3 %;-
Plus;1;0,6 %;-;0;0,0 %;-
BSW;-;-;-;18;11,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;8;5,0 %;-;4;2,5 %;-
WU;-;-;-;0;0,0 %;-
