Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;218;-;-;218;-;-
Wählende;126;57,8 %;-;126;57,8 %;-
Ungültige Stimmen;2;1,6 %;-;2;1,6 %;-
Gültige Stimmen;124;98,4 %;-;124;98,4 %;-
SPD;39;31,5 %;-;38;30,6 %;-
AfD;66;53,2 %;-;59;47,6 %;-
CDU;9;7,3 %;-;9;7,3 %;-
GRÜNE/B 90;1;0,8 %;-;0;0,0 %;-
DIE LINKE;0;0,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;4;3,2 %;-;2;1,6 %;-
FDP;1;0,8 %;-;1;0,8 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;2;1,6 %;-;0;0,0 %;-
BSW;-;-;-;12;9,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;1,6 %;-;3;2,4 %;-
WU;-;-;-;0;0,0 %;-
