Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;711;-;-;711;-;-
Wählende;355;49,9 %;+29;355;49,9 %;+29
Ungültige Stimmen;7;2,0 %;+05;2;0,6 %;-09
Gültige Stimmen;348;98,0 %;-05;353;99,4 %;+09
SPD;121;34,8 %;+46;111;31,4 %;-27
AfD;165;47,4 %;+184;160;45,3 %;+175
CDU;29;8,3 %;-62;23;6,5 %;-38
GRÜNE/B 90;2;0,6 %;-67;4;1,1 %;-28
DIE LINKE;13;3,7 %;-62;6;1,7 %;-74
BVB / FREIE WÄHLER;9;2,6 %;-38;4;1,1 %;-58
FDP;1;0,3 %;-24;2;0,6 %;-28
Tierschutzpartei;-;-;-;7;2,0 %;-07
Plus;1;0,3 %;+03;1;0,3 %;-15
BSW;-;-;-;33;9,3 %;+93
III. Weg;-;-;-;2;0,6 %;+06
DKP;-;-;-;0;0,0 %;00
DLW;7;2,0 %;+20;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
