Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;811;-;-;811;-;-
Wählende;383;47,2 %;-;383;47,2 %;-
Ungültige Stimmen;10;2,6 %;-;6;1,6 %;-
Gültige Stimmen;373;97,4 %;-;377;98,4 %;-
SPD;130;34,9 %;-;108;28,6 %;-
AfD;181;48,5 %;-;168;44,6 %;-
CDU;23;6,2 %;-;23;6,1 %;-
GRÜNE/B 90;2;0,5 %;-;4;1,1 %;-
DIE LINKE;8;2,1 %;-;6;1,6 %;-
BVB / FREIE WÄHLER;15;4,0 %;-;12;3,2 %;-
FDP;2;0,5 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;8;2,1 %;-
Plus;3;0,8 %;-;0;0,0 %;-
BSW;-;-;-;40;10,6 %;-
III. Weg;-;-;-;2;0,5 %;-
DKP;-;-;-;0;0,0 %;-
DLW;9;2,4 %;-;4;1,1 %;-
WU;-;-;-;1;0,3 %;-
