Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;133;-;-;133;-;-
Wählende;85;63,9 %;-;85;63,9 %;-
Ungültige Stimmen;1;1,2 %;-;1;1,2 %;-
Gültige Stimmen;84;98,8 %;-;84;98,8 %;-
SPD;29;34,5 %;-;23;27,4 %;-
AfD;41;48,8 %;-;37;44,0 %;-
CDU;10;11,9 %;-;10;11,9 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;2;2,4 %;-;2;2,4 %;-
BVB / FREIE WÄHLER;1;1,2 %;-;5;6,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;5;6,0 %;-
III. Weg;-;-;-;1;1,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;1,2 %;-;0;0,0 %;-
WU;-;-;-;1;1,2 %;-
