Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;143;-;-;143;-;-
Wählende;96;67,1 %;-;96;67,1 %;-
Ungültige Stimmen;3;3,1 %;-;2;2,1 %;-
Gültige Stimmen;93;96,9 %;-;94;97,9 %;-
SPD;20;21,5 %;-;21;22,3 %;-
AfD;44;47,3 %;-;39;41,5 %;-
CDU;13;14,0 %;-;9;9,6 %;-
GRÜNE/B 90;3;3,2 %;-;1;1,1 %;-
DIE LINKE;2;2,2 %;-;1;1,1 %;-
BVB / FREIE WÄHLER;7;7,5 %;-;3;3,2 %;-
FDP;1;1,1 %;-;1;1,1 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;0;0,0 %;-;1;1,1 %;-
BSW;-;-;-;16;17,0 %;-
III. Weg;-;-;-;1;1,1 %;-
DKP;-;-;-;0;0,0 %;-
DLW;3;3,2 %;-;1;1,1 %;-
WU;-;-;-;0;0,0 %;-
