Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;396;-;-;396;-;-
Wählende;256;64,6 %;-;256;64,6 %;-
Ungültige Stimmen;4;1,6 %;-;4;1,6 %;-
Gültige Stimmen;252;98,4 %;-;252;98,4 %;-
SPD;70;27,8 %;-;73;29,0 %;-
AfD;104;41,3 %;-;93;36,9 %;-
CDU;42;16,7 %;-;31;12,3 %;-
GRÜNE/B 90;0;0,0 %;-;2;0,8 %;-
DIE LINKE;4;1,6 %;-;2;0,8 %;-
BVB / FREIE WÄHLER;18;7,1 %;-;7;2,8 %;-
FDP;4;1,6 %;-;6;2,4 %;-
Tierschutzpartei;-;-;-;2;0,8 %;-
Plus;3;1,2 %;-;1;0,4 %;-
BSW;-;-;-;33;13,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,8 %;-
WU;-;-;-;0;0,0 %;-
EB Gliese;7;2,8 %;-;-;-;-
