Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.337;-;-;1.337;-;-
Wählende;644;48,2 %;-;644;48,2 %;-
Ungültige Stimmen;17;2,6 %;-;7;1,1 %;-
Gültige Stimmen;627;97,4 %;-;637;98,9 %;-
SPD;202;32,2 %;-;197;30,9 %;-
AfD;273;43,5 %;-;251;39,4 %;-
CDU;61;9,7 %;-;46;7,2 %;-
GRÜNE/B 90;5;0,8 %;-;5;0,8 %;-
DIE LINKE;28;4,5 %;-;19;3,0 %;-
BVB / FREIE WÄHLER;35;5,6 %;-;13;2,0 %;-
FDP;4;0,6 %;-;3;0,5 %;-
Tierschutzpartei;-;-;-;9;1,4 %;-
Plus;1;0,2 %;-;0;0,0 %;-
BSW;-;-;-;87;13,7 %;-
III. Weg;-;-;-;2;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;4;0,6 %;-
EB Gliese;18;2,9 %;-;-;-;-
