Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.163;-;-;1.163;-;-
Wählende;527;45,3 %;-;527;45,3 %;-
Ungültige Stimmen;18;3,4 %;-;11;2,1 %;-
Gültige Stimmen;509;96,6 %;-;516;97,9 %;-
SPD;175;34,4 %;-;162;31,4 %;-
AfD;229;45,0 %;-;217;42,1 %;-
CDU;29;5,7 %;-;28;5,4 %;-
GRÜNE/B 90;9;1,8 %;-;7;1,4 %;-
DIE LINKE;22;4,3 %;-;16;3,1 %;-
BVB / FREIE WÄHLER;25;4,9 %;-;6;1,2 %;-
FDP;6;1,2 %;-;3;0,6 %;-
Tierschutzpartei;-;-;-;10;1,9 %;-
Plus;4;0,8 %;-;3;0,6 %;-
BSW;-;-;-;58;11,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;3;0,6 %;-
WU;-;-;-;2;0,4 %;-
EB Gliese;10;2,0 %;-;-;-;-
