Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;889;-;-;889;-;-
Wählende;399;44,9 %;-;399;44,9 %;-
Ungültige Stimmen;12;3,0 %;-;12;3,0 %;-
Gültige Stimmen;387;97,0 %;-;387;97,0 %;-
SPD;102;26,4 %;-;110;28,4 %;-
AfD;188;48,6 %;-;177;45,7 %;-
CDU;27;7,0 %;-;17;4,4 %;-
GRÜNE/B 90;4;1,0 %;-;5;1,3 %;-
DIE LINKE;15;3,9 %;-;7;1,8 %;-
BVB / FREIE WÄHLER;28;7,2 %;-;9;2,3 %;-
FDP;3;0,8 %;-;3;0,8 %;-
Tierschutzpartei;-;-;-;6;1,6 %;-
Plus;7;1,8 %;-;3;0,8 %;-
BSW;-;-;-;45;11,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,8 %;-
WU;-;-;-;2;0,5 %;-
EB Gliese;13;3,4 %;-;-;-;-
