Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.260;-;-;1.260;-;-
Wählende;671;53,3 %;-;671;53,3 %;-
Ungültige Stimmen;8;1,2 %;-;6;0,9 %;-
Gültige Stimmen;663;98,8 %;-;665;99,1 %;-
SPD;192;29,0 %;-;176;26,5 %;-
AfD;298;44,9 %;-;271;40,8 %;-
CDU;75;11,3 %;-;68;10,2 %;-
GRÜNE/B 90;4;0,6 %;-;5;0,8 %;-
DIE LINKE;22;3,3 %;-;8;1,2 %;-
BVB / FREIE WÄHLER;46;6,9 %;-;17;2,6 %;-
FDP;9;1,4 %;-;7;1,1 %;-
Tierschutzpartei;-;-;-;8;1,2 %;-
Plus;3;0,5 %;-;3;0,5 %;-
BSW;-;-;-;95;14,3 %;-
III. Weg;-;-;-;3;0,5 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;3;0,5 %;-
EB Gliese;14;2,1 %;-;-;-;-
