Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.272;-;-;1.272;-;-
Wählende;690;54,2 %;+127;690;54,2 %;+127
Ungültige Stimmen;13;1,9 %;+02;9;1,3 %;-05
Gültige Stimmen;677;98,1 %;-02;681;98,7 %;+05
SPD;171;25,3 %;-06;171;25,1 %;-34
AfD;327;48,3 %;+188;304;44,6 %;+137
CDU;73;10,8 %;-61;57;8,4 %;-40
GRÜNE/B 90;8;1,2 %;-35;3;0,4 %;-38
DIE LINKE;15;2,2 %;-115;13;1,9 %;-89
BVB / FREIE WÄHLER;40;5,9 %;-11;15;2,2 %;-26
FDP;8;1,2 %;-13;6;0,9 %;-24
Tierschutzpartei;-;-;-;9;1,3 %;-19
Plus;7;1,0 %;+10;1;0,1 %;-14
BSW;-;-;-;93;13,7 %;+137
III. Weg;-;-;-;2;0,3 %;+03
DKP;-;-;-;1;0,1 %;+01
DLW;-;-;-;1;0,1 %;+01
WU;-;-;-;5;0,7 %;+07
EB Gliese;28;4,1 %;+41;-;-;-
