Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;142;-;-;142;-;-
Wählende;102;71,8 %;-;102;71,8 %;-
Ungültige Stimmen;0;0,0 %;-;1;1,0 %;-
Gültige Stimmen;102;100,0 %;-;101;99,0 %;-
SPD;36;35,3 %;-;33;32,7 %;-
AfD;37;36,3 %;-;36;35,6 %;-
CDU;19;18,6 %;-;16;15,8 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;0;0,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;5;4,9 %;-;0;0,0 %;-
FDP;1;1,0 %;-;1;1,0 %;-
Tierschutzpartei;-;-;-;1;1,0 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;14;13,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Gliese;4;3,9 %;-;-;-;-
