Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;98;-;-;98;-;-
Wählende;61;62,2 %;-;61;62,2 %;-
Ungültige Stimmen;3;4,9 %;-;3;4,9 %;-
Gültige Stimmen;58;95,1 %;-;58;95,1 %;-
SPD;15;25,9 %;-;14;24,1 %;-
AfD;22;37,9 %;-;20;34,5 %;-
CDU;6;10,3 %;-;7;12,1 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;5;8,6 %;-;3;5,2 %;-
BVB / FREIE WÄHLER;5;8,6 %;-;5;8,6 %;-
FDP;2;3,4 %;-;2;3,4 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;0;0,0 %;-;1;1,7 %;-
BSW;-;-;-;4;6,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;3,4 %;-
EB Gliese;3;5,2 %;-;-;-;-
