Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;98;-;-;98;-;-
Wählende;67;68,4 %;-;67;68,4 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;67;100,0 %;-;67;100,0 %;-
SPD;28;41,8 %;-;26;38,8 %;-
AfD;27;40,3 %;-;26;38,8 %;-
CDU;7;10,4 %;-;6;9,0 %;-
GRÜNE/B 90;1;1,5 %;-;1;1,5 %;-
DIE LINKE;1;1,5 %;-;1;1,5 %;-
BVB / FREIE WÄHLER;1;1,5 %;-;1;1,5 %;-
FDP;1;1,5 %;-;1;1,5 %;-
Tierschutzpartei;-;-;-;1;1,5 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;3;4,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,5 %;-
WU;-;-;-;0;0,0 %;-
EB Gliese;1;1,5 %;-;-;-;-
