Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;138;-;-;138;-;-
Wählende;91;65,9 %;-;91;65,9 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;91;100,0 %;-;91;100,0 %;-
SPD;28;30,8 %;-;31;34,1 %;-
AfD;34;37,4 %;-;32;35,2 %;-
CDU;16;17,6 %;-;9;9,9 %;-
GRÜNE/B 90;1;1,1 %;-;2;2,2 %;-
DIE LINKE;3;3,3 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;1;1,1 %;-;1;1,1 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;1;1,1 %;-;1;1,1 %;-
BSW;-;-;-;15;16,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Gliese;7;7,7 %;-;-;-;-
