Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;147;-;-;147;-;-
Wählende;101;68,7 %;+48;101;68,7 %;+48
Ungültige Stimmen;2;2,0 %;+06;0;0,0 %;-15
Gültige Stimmen;99;98,0 %;-06;101;100,0 %;+15
SPD;20;20,2 %;+03;28;27,7 %;+28
AfD;40;40,4 %;+115;40;39,6 %;+94
CDU;21;21,2 %;-69;8;7,9 %;-114
GRÜNE/B 90;0;0,0 %;-54;6;5,9 %;-00
DIE LINKE;1;1,0 %;-74;1;1,0 %;-70
BVB / FREIE WÄHLER;5;5,1 %;-16;1;1,0 %;-41
FDP;0;0,0 %;-26;0;0,0 %;-26
Tierschutzpartei;-;-;-;2;2,0 %;-04
Plus;5;5,1 %;+51;3;3,0 %;+16
BSW;-;-;-;11;10,9 %;+109
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;1;1,0 %;+10
EB Gliese;7;7,1 %;+71;-;-;-
