Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;829;-;-;829;-;-
Wählende;493;59,5 %;+76;493;59,5 %;+76
Ungültige Stimmen;10;2,0 %;+14;3;0,6 %;+01
Gültige Stimmen;483;98,0 %;-14;490;99,4 %;-01
SPD;105;21,7 %;+77;109;22,2 %;+38
AfD;249;51,6 %;+186;238;48,6 %;+128
CDU;56;11,6 %;-179;44;9,0 %;-96
GRÜNE/B 90;1;0,2 %;-29;1;0,2 %;-49
DIE LINKE;13;2,7 %;-69;6;1,2 %;-75
BVB / FREIE WÄHLER;38;7,9 %;-07;10;2,0 %;-31
FDP;4;0,8 %;-14;2;0,4 %;-31
Tierschutzpartei;-;-;-;4;0,8 %;-29
Plus;0;0,0 %;00;2;0,4 %;-02
BSW;-;-;-;68;13,9 %;+139
III. Weg;-;-;-;1;0,2 %;+02
DKP;-;-;-;2;0,4 %;+04
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;3;0,6 %;+06
EB Gliese;17;3,5 %;+35;-;-;-
