Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.075;-;-;1.075;-;-
Wählende;631;58,7 %;+23;631;58,7 %;+23
Ungültige Stimmen;12;1,9 %;-00;11;1,7 %;-05
Gültige Stimmen;619;98,1 %;+00;620;98,3 %;+05
SPD;132;21,3 %;+55;151;24,4 %;+34
AfD;284;45,9 %;+122;280;45,2 %;+86
CDU;80;12,9 %;-157;66;10,6 %;-82
GRÜNE/B 90;3;0,5 %;-31;7;1,1 %;-30
DIE LINKE;14;2,3 %;-61;9;1,5 %;-64
BVB / FREIE WÄHLER;47;7,6 %;+14;15;2,4 %;-09
FDP;4;0,6 %;-31;1;0,2 %;-41
Tierschutzpartei;-;-;-;13;2,1 %;-10
Plus;12;1,9 %;+19;4;0,6 %;-03
BSW;-;-;-;69;11,1 %;+111
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;3;0,5 %;+05
WU;-;-;-;2;0,3 %;+03
EB Gliese;43;6,9 %;+69;-;-;-
