Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.265;-;-;1.265;-;-
Wählende;776;61,3 %;+70;776;61,3 %;+70
Ungültige Stimmen;11;1,4 %;-03;6;0,8 %;-08
Gültige Stimmen;765;98,6 %;+03;770;99,2 %;+08
SPD;164;21,4 %;+68;190;24,7 %;+62
AfD;363;47,5 %;+140;334;43,4 %;+55
CDU;88;11,5 %;-200;68;8,8 %;-115
GRÜNE/B 90;3;0,4 %;-44;7;0,9 %;-37
DIE LINKE;24;3,1 %;-29;13;1,7 %;-39
BVB / FREIE WÄHLER;68;8,9 %;+22;18;2,3 %;-19
FDP;7;0,9 %;-20;4;0,5 %;-31
Tierschutzpartei;-;-;-;11;1,4 %;-23
Plus;6;0,8 %;+08;3;0,4 %;-08
BSW;-;-;-;112;14,5 %;+145
III. Weg;-;-;-;2;0,3 %;+03
DKP;-;-;-;2;0,3 %;+03
DLW;-;-;-;3;0,4 %;+04
WU;-;-;-;3;0,4 %;+04
EB Gliese;42;5,5 %;+55;-;-;-
