Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;158;-;-;158;-;-
Wählende;97;61,4 %;-;97;61,4 %;-
Ungültige Stimmen;3;3,1 %;-;3;3,1 %;-
Gültige Stimmen;94;96,9 %;-;94;96,9 %;-
SPD;21;22,3 %;-;21;22,3 %;-
AfD;46;48,9 %;-;41;43,6 %;-
CDU;9;9,6 %;-;6;6,4 %;-
GRÜNE/B 90;4;4,3 %;-;6;6,4 %;-
DIE LINKE;3;3,2 %;-;3;3,2 %;-
BVB / FREIE WÄHLER;7;7,4 %;-;1;1,1 %;-
FDP;1;1,1 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;2,1 %;-
Plus;1;1,1 %;-;1;1,1 %;-
BSW;-;-;-;13;13,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Gliese;2;2,1 %;-;-;-;-
