Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;261;-;-;261;-;-
Wählende;186;71,3 %;-;186;71,3 %;-
Ungültige Stimmen;2;1,1 %;-;0;0,0 %;-
Gültige Stimmen;184;98,9 %;-;186;100,0 %;-
SPD;53;28,8 %;-;57;30,6 %;-
AfD;87;47,3 %;-;76;40,9 %;-
CDU;15;8,2 %;-;10;5,4 %;-
GRÜNE/B 90;4;2,2 %;-;4;2,2 %;-
DIE LINKE;6;3,3 %;-;2;1,1 %;-
BVB / FREIE WÄHLER;14;7,6 %;-;3;1,6 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;1,1 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;30;16,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,5 %;-
WU;-;-;-;1;0,5 %;-
EB Gliese;5;2,7 %;-;-;-;-
