Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;359;-;-;359;-;-
Wählende;217;60,4 %;-;217;60,4 %;-
Ungültige Stimmen;1;0,5 %;-;1;0,5 %;-
Gültige Stimmen;216;99,5 %;-;216;99,5 %;-
SPD;66;30,6 %;-;68;31,5 %;-
AfD;92;42,6 %;-;94;43,5 %;-
CDU;24;11,1 %;-;19;8,8 %;-
GRÜNE/B 90;1;0,5 %;-;4;1,9 %;-
DIE LINKE;7;3,2 %;-;1;0,5 %;-
BVB / FREIE WÄHLER;14;6,5 %;-;1;0,5 %;-
FDP;3;1,4 %;-;2;0,9 %;-
Tierschutzpartei;-;-;-;3;1,4 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;23;10,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,5 %;-
WU;-;-;-;0;0,0 %;-
EB Gliese;9;4,2 %;-;-;-;-
