Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;137;-;-;137;-;-
Wählende;91;66,4 %;-;91;66,4 %;-
Ungültige Stimmen;1;1,1 %;-;1;1,1 %;-
Gültige Stimmen;90;98,9 %;-;90;98,9 %;-
SPD;30;33,3 %;-;28;31,1 %;-
AfD;28;31,1 %;-;27;30,0 %;-
CDU;18;20,0 %;-;11;12,2 %;-
GRÜNE/B 90;1;1,1 %;-;3;3,3 %;-
DIE LINKE;1;1,1 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;7;7,8 %;-;4;4,4 %;-
FDP;2;2,2 %;-;1;1,1 %;-
Tierschutzpartei;-;-;-;1;1,1 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;14;15,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;1,1 %;-
EB Gliese;3;3,3 %;-;-;-;-
