Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;120;-;-;120;-;-
Wählende;92;76,7 %;-;92;76,7 %;-
Ungültige Stimmen;1;1,1 %;-;3;3,3 %;-
Gültige Stimmen;91;98,9 %;-;89;96,7 %;-
SPD;40;44,0 %;-;34;38,2 %;-
AfD;27;29,7 %;-;27;30,3 %;-
CDU;7;7,7 %;-;4;4,5 %;-
GRÜNE/B 90;1;1,1 %;-;3;3,4 %;-
DIE LINKE;1;1,1 %;-;1;1,1 %;-
BVB / FREIE WÄHLER;2;2,2 %;-;2;2,2 %;-
FDP;1;1,1 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,1 %;-
Plus;2;2,2 %;-;1;1,1 %;-
BSW;-;-;-;15;16,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;1,1 %;-
EB Gliese;10;11,0 %;-;-;-;-
