Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;126;-;-;126;-;-
Wählende;93;73,8 %;-;93;73,8 %;-
Ungültige Stimmen;1;1,1 %;-;0;0,0 %;-
Gültige Stimmen;92;98,9 %;-;93;100,0 %;-
SPD;21;22,8 %;-;27;29,0 %;-
AfD;40;43,5 %;-;35;37,6 %;-
CDU;13;14,1 %;-;11;11,8 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;3;3,3 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;4;4,3 %;-;5;5,4 %;-
FDP;1;1,1 %;-;1;1,1 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;0;0,0 %;-;2;2,2 %;-
BSW;-;-;-;9;9,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;3,2 %;-
WU;-;-;-;0;0,0 %;-
EB Gliese;10;10,9 %;-;-;-;-
