Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.017;-;-;1.017;-;-
Wählende;554;54,5 %;-;554;54,5 %;-
Ungültige Stimmen;6;1,1 %;-;3;0,5 %;-
Gültige Stimmen;548;98,9 %;-;551;99,5 %;-
SPD;172;31,4 %;-;180;32,7 %;-
AfD;210;38,3 %;-;194;35,2 %;-
CDU;82;15,0 %;-;43;7,8 %;-
GRÜNE/B 90;7;1,3 %;-;9;1,6 %;-
DIE LINKE;16;2,9 %;-;15;2,7 %;-
BVB / FREIE WÄHLER;35;6,4 %;-;13;2,4 %;-
FDP;11;2,0 %;-;4;0,7 %;-
Tierschutzpartei;-;-;-;8;1,5 %;-
Plus;9;1,6 %;-;4;0,7 %;-
BSW;-;-;-;77;14,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;4;0,7 %;-
EB Gliese;6;1,1 %;-;-;-;-
