Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.001;-;-;1.001;-;-
Wählende;517;51,6 %;-;517;51,6 %;-
Ungültige Stimmen;7;1,4 %;-;4;0,8 %;-
Gültige Stimmen;510;98,6 %;-;513;99,2 %;-
SPD;121;23,7 %;-;113;22,0 %;-
AfD;242;47,5 %;-;215;41,9 %;-
CDU;74;14,5 %;-;56;10,9 %;-
GRÜNE/B 90;1;0,2 %;-;2;0,4 %;-
DIE LINKE;13;2,5 %;-;14;2,7 %;-
BVB / FREIE WÄHLER;25;4,9 %;-;11;2,1 %;-
FDP;10;2,0 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;6;1,2 %;-
Plus;18;3,5 %;-;5;1,0 %;-
BSW;-;-;-;84;16,4 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;4;0,8 %;-
EB Gliese;6;1,2 %;-;-;-;-
