Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;978;-;-;978;-;-
Wählende;487;49,8 %;-;487;49,8 %;-
Ungültige Stimmen;5;1,0 %;-;3;0,6 %;-
Gültige Stimmen;482;99,0 %;-;484;99,4 %;-
SPD;127;26,3 %;-;139;28,7 %;-
AfD;196;40,7 %;-;181;37,4 %;-
CDU;79;16,4 %;-;50;10,3 %;-
GRÜNE/B 90;2;0,4 %;-;2;0,4 %;-
DIE LINKE;23;4,8 %;-;13;2,7 %;-
BVB / FREIE WÄHLER;19;3,9 %;-;10;2,1 %;-
FDP;18;3,7 %;-;3;0,6 %;-
Tierschutzpartei;-;-;-;6;1,2 %;-
Plus;14;2,9 %;-;2;0,4 %;-
BSW;-;-;-;74;15,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;3;0,6 %;-
EB Gliese;4;0,8 %;-;-;-;-
