Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;332;-;-;332;-;-
Wählende;206;62,0 %;-;206;62,0 %;-
Ungültige Stimmen;3;1,5 %;-;3;1,5 %;-
Gültige Stimmen;203;98,5 %;-;203;98,5 %;-
SPD;57;28,1 %;-;44;21,7 %;-
AfD;83;40,9 %;-;75;36,9 %;-
CDU;25;12,3 %;-;24;11,8 %;-
GRÜNE/B 90;3;1,5 %;-;3;1,5 %;-
DIE LINKE;7;3,4 %;-;7;3,4 %;-
BVB / FREIE WÄHLER;15;7,4 %;-;7;3,4 %;-
FDP;3;1,5 %;-;1;0,5 %;-
Tierschutzpartei;-;-;-;3;1,5 %;-
Plus;5;2,5 %;-;2;1,0 %;-
BSW;-;-;-;36;17,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,5 %;-
EB Gliese;5;2,5 %;-;-;-;-
