Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.162;-;-;1.162;-;-
Wählende;614;52,8 %;-;614.0;52,8 %;-
Ungültige Stimmen;5;0,8 %;-;4.0;0,7 %;-
Gültige Stimmen;609;99,2 %;-;610.0;99,3 %;-
SPD;166;27,3 %;-;166.0;27,2 %;-
AfD;263;43,2 %;-;244.0;40,0 %;-
CDU;73;12,0 %;-;71.0;11,6 %;-
GRÜNE/B 90;8;1,3 %;-;11.0;1,8 %;-
DIE LINKE;27;4,4 %;-;15.0;2,5 %;-
BVB / FREIE WÄHLER;53;8,7 %;-;14.0;2,3 %;-
FDP;11;1,8 %;-;4.0;0,7 %;-
Tierschutzpartei;-;-;-;11.0;1,8 %;-
Plus;-;-;-;3.0;0,5 %;-
BSW;-;-;-;64.0;10,5 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;8;1,3 %;-;3.0;0,5 %;-
WU;-;-;-;4.0;0,7 %;-
