Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;116;-;-;116;-;-
Wählende;90;77,6 %;-;90;77,6 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;90;100,0 %;-;90;100,0 %;-
SPD;25;27,8 %;-;24;26,7 %;-
AfD;38;42,2 %;-;39;43,3 %;-
CDU;9;10,0 %;-;9;10,0 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;3;3,3 %;-;2;2,2 %;-
BVB / FREIE WÄHLER;11;12,2 %;-;4;4,4 %;-
FDP;1;1,1 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;12;13,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;3;3,3 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
