Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;361;-;-;361;-;-
Wählende;212;58,7 %;-;212;58,7 %;-
Ungültige Stimmen;3;1,4 %;-;2;0,9 %;-
Gültige Stimmen;209;98,6 %;-;210;99,1 %;-
SPD;66;31,6 %;-;62;29,5 %;-
AfD;76;36,4 %;-;69;32,9 %;-
CDU;26;12,4 %;-;20;9,5 %;-
GRÜNE/B 90;3;1,4 %;-;3;1,4 %;-
DIE LINKE;8;3,8 %;-;4;1,9 %;-
BVB / FREIE WÄHLER;17;8,1 %;-;3;1,4 %;-
FDP;4;1,9 %;-;1;0,5 %;-
Tierschutzpartei;-;-;-;7;3,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;39;18,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;9;4,3 %;-;2;1,0 %;-
WU;-;-;-;0;0,0 %;-
